anio,mes_num,comuna_nombre,GRAVEDAD,n_accidentes
2012,1,1,Con muertos,1
2012,1,3,Con heridos,1
2012,1,3,Solo daños,1
2012,1,CABECERA DEL LLANO,Con heridos,13
2012,1,CABECERA DEL LLANO,Solo daños,39
2012,1,CENTRO,Con heridos,11
2012,1,CENTRO,Solo daños,20
2012,1,GARCIA ROVIRA,Con heridos,8
2012,1,GARCIA ROVIRA,Solo daños,6
2012,1,LA CIUDADELA,Con heridos,4
2012,1,LA CIUDADELA,Solo daños,5
2012,1,LA CONCORDIA,Con heridos,11
2012,1,LA CONCORDIA,Solo daños,17
2012,1,LA PEDREGOSA,Con heridos,6
2012,1,LA PEDREGOSA,Solo daños,10
2012,1,LAGOS DEL CACIQUE,Con heridos,2
2012,1,LAGOS DEL CACIQUE,Solo daños,3
2012,1,MORRORICO,Con heridos,1
2012,1,MORRORICO,Solo daños,1
2012,1,MUTIS,Con heridos,4
2012,1,MUTIS,Solo daños,2
2012,1,NO DISPONIBLE,Con heridos,5
2012,1,NO DISPONIBLE,Solo daños,11
2012,1,NORORIENTAL,Solo daños,3
2012,1,NORTE,Con heridos,8
2012,1,NORTE,Solo daños,2
2012,1,OCCIDENTAL,Con heridos,6
2012,1,OCCIDENTAL,Con muertos,1
2012,1,OCCIDENTAL,Solo daños,4
2012,1,ORIENTAL,Con heridos,12
2012,1,ORIENTAL,Con muertos,1
2012,1,ORIENTAL,Solo daños,21
2012,1,PROVENZA,Con heridos,7
2012,1,PROVENZA,Solo daños,14
2012,1,SAN FRANCISCO,Con heridos,18
2012,1,SAN FRANCISCO,Solo daños,17
2012,1,SUR,Con heridos,4
2012,1,SUR,Solo daños,7
2012,1,SUR OCCIDENTE,Con heridos,3
2012,1,SUR OCCIDENTE,Solo daños,7
2012,2,3,Solo daños,1
2012,2,CABECERA DEL LLANO,Con heridos,16
2012,2,CABECERA DEL LLANO,Con muertos,1
2012,2,CABECERA DEL LLANO,Solo daños,43
2012,2,CENTRO,Con heridos,17
2012,2,CENTRO,Con muertos,1
2012,2,CENTRO,Solo daños,39
2012,2,GARCIA ROVIRA,Con heridos,6
2012,2,GARCIA ROVIRA,Solo daños,6
